AS24534,PT Trans Hybrid Communication
AS24535,PT Insan Sarana Telematika
AS24547,Hebei Mobile Communication Company Limited
AS24637,WEBDISCOUNT GmbH & Co. KG
AS24645,"""CSC Telecom", UAB"
AS24651,JSC BALTICOM
AS24695,T.M.A Serv SRL
AS24751,Jakobstadsnejdens Telefon Ab
AS24916,Orbital Net Ltd
AS25139,"""TVCABO - Comunicações Multimedia", Lda"
AS25160,Vorboss Limited
AS25184,Afranet
AS25454,Orange Moldova S.A.
AS25482,"Private Enterprise """"Law Firm """"Status"""""
AS25509,Hringiðan ehf / Vortex Inc
AS25764,Ziply Fiber (iFiber Communications Corp)
AS26244,Bowling Green Municipal Utilities
AS26253,"""South Central Communications", Inc."
AS26744,"""Planters Communications", LLC"
AS27425,"""IdeaTek Telcom", LLC"
AS27717,Corporacion Digitel C.A.
AS27843,WIN Empresas S.A.C
AS27884,CABLECOLOR S.A.
AS28126,BRISANET SERVICOS DE TELECOMUNICACOES S.A
AS28165,Wireless Comm Services LTDA
AS28166,Telecom South America - TESA Telecom
AS28189,NOVVACORE
AS28260,ALTA REDE CORPORATE NETWORK TELECOM LTDA - EPP
AS28283,Adyl Telecom
AS28343,Unifique Telecomunicações SA
AS28598,MOB
AS28676,WITCOM Wiesbadener Informations- und Telekommunikatio...
AS28683,SOCIETE BENINOISE D'INFRASTRUCTURES NUMERIQUES
AS28685,Routit BV
AS28699,Bite Latvia (UNISTARS)
AS28748,Marc Pauls (AlphaCron Datensysteme)
AS28972,"""M-SOFT", spol. s r.o."
AS29049,Delta Telecom Ltd
AS29056,Citycom Telekommunikation GmbH
AS29075,IELO-LIAZO SERVICES SAS
AS29208,"""Quantcom", a.s."
AS29283,Hub One SA
AS29518,Bredband2 AB
AS29611,Elite Limited
AS29695,Lyse Tele AS
AS29975,Vodacom
AS30110,Advanced Communications Technology
AS30517,"""Great Lakes Comnet", Inc."
AS30722,Vodafone Italia S.p.A.
AS30781,Free Pro SAS
AS30844,Liquid Intelligent Technologies
AS30848,UNIDATA S.p.A.
AS30925,DELTA Fiber Nederland B.V.
AS30990,Djibouti Telecom SA
AS30999,Emtel
AS31027,GlobalConnect A/S
AS31042,Serbia BroadBand-Srpske Kablovske mreze d.o.o.
AS31115,INTRED S.P.A.
AS31204,ORANGE MOLDOVA S.A.
AS31242,P4 Sp. z o.o.
AS31263,MYNET S.R.L.
AS31287,IPACCT CABLE Ltd
AS31615,Odido Netherlands B.V.
AS31631,Telcom Networks Limited
AS31655,Gamma Telecom Holdings Ltd
AS32133,Ting Fiber Inc.
AS32329,"""Another Corporate ISP", LLC"
AS32444,Anthem Broadband
AS32490,"""South Central Communications", Inc."
AS32582,"""600Amps Internet Services", Inc."
AS32709,"""Joink", LLC"
AS33218,"""Belzoni Cable", LLC"
AS33788,Kanar Telecommunication (Canar Telecom Co.Ltd)
AS33823,PHOENIX TELECOM & MEDIA SERVICES SRL
AS34224,Neterra Ltd.
AS34244,Teleservice Bredband Skane AB
AS34263,MPY Telecom Oy
AS34326,CSC Telecom SIA
AS34953,RelAix Networks GmbH
AS34984,Superonline Iletisim Hizmetleri A.S.
AS35091,"""Teledata", Ghana"
AS35205,RFT kabel Brandenburg GmbH
AS35313,Infonas W.L.L.
