AS9775,Hannam University
AS9778,DAEJIN UNIVERSITY
AS9780,INJE UNIVERSITY
AS9821,Department of Science and Technology
AS9916,National Yang Ming Chiao Tung University
AS9949,Hoseo  University
AS10014,Nihon University
AS10052,Kyungpook National University
AS10076,ERDEMNET Mongolian National Research and Education Network
AS10148,The University of Melbourne
AS10159,Korea Aerospace University
AS10197,Chonnam National University
AS10308,Northeastern Illinois University
AS10326,Worcester Polytechnic Institute
AS10349,Tulane University
AS10357,James Madison University
AS10364,University of Alabama in Huntsville
AS10417,Fundação de Desenvolvimento da Pesquisa
AS10421,Texas Tech University
AS10448,Villanova University
AS10466,MAGPI
AS10490,Georgia Institute of Technology
AS10508,University of Arkansas
AS10546,Mississippi State University
AS10554,WESTERN UNIVERSITY OF HEALTH SCIENCES
AS10558,"""Biola University", Inc."
AS10561,Brandeis University
AS10578,Harvard University
AS10631,Georgia State University
AS10680,Indiana University
AS10755,Dartmouth College
AS10812,University of Texas System
AS10875,Fundação de Apoio da UFRGS
AS10886,University of Maryland
AS10952,East Carolina University
AS10955,WILLIAM PATERSON UNIVERSITY
AS10961,Boston GigaPoP
AS10965,MRNet
AS10972,"""Memorial University", NF CAnet 2 gigaPOP"
AS11009,Carlow University
AS11032,Universite du Quebec
AS11039,The George Washington University
AS11050,Kent State University
AS11078,Brown University
AS11094,"""Rutgers", The State University"
AS11105,Simon Fraser University
AS11131,University of Maryland Baltimore County (UMBC)
AS11164,Internet2 I2PX
AS11200,Regis University
AS11206,Ferris State University
AS11214,University of North Florida
AS11231,GETTYSBURG COLLEGE
AS11237,UNIVERSIDAD EAFIT
AS11242,Universidade Federal de Santa Catarina
AS11252,Idaho State University
AS11257,University of Lethbridge
AS11279,George Mason University
AS11293,University of California - Office of the President
AS11297,Lipscomb University
AS11317,Great Plains Network
AS11318,Georgetown University
AS11348,Missouri University of Science and Technology
AS11395,Thiel College
AS11399,Williams College
AS11417,Northern Illinois University
AS11442,North Carolina State University
AS11452,Mount Sinai School of Medicine
AS11500,Milwaukee School of Engineering
AS11534,The School District of Philadelphia
AS11537,Internet2
AS11546,The Board of Regents of the University of Nebraska
AS11548,Heritage University
AS11570,Eastern New Mexico University
AS11602,South Dakota School of Mines & Technology
AS11607,South Dakota State University
AS11649,Gonzaga University
AS11659,University of Kansas Medical Center
AS11694,Universidad Simon Bolivar
AS11736,University of South Dakota
AS11745,University System of New Hampshire
AS11773,The University Of Texas M.D. Anderson Cancer Center
AS11783,Brooklyn Law School
AS11808,University of Idaho
AS11809,Embry-Riddle University
AS11827,Washington State University
AS11834,Drexel University
AS11863,Pacific Lutheran University
AS11872,Syracuse University
AS11897,Tulsa Community College
AS11920,The Board of Regents of the University of Nebraska
AS11995,Oregon Health & Science University
AS12005,University of South Carolina
AS12011,Thompson School District
AS12013,Florida Atlantic University
AS12093,University of Waterloo
AS12118,West Virginia University
AS12145,Colorado State University
AS12148,Clemson University
AS12173,The University of Alabama
AS12205,Sachem Central School District
AS12239,Bloomington Public School District No. 87
AS12324,Maria Curie-Sklodowska University
AS12346,Maria Curie-Sklodowska University
AS12356,UNIVERSITATEA ROMANO-AMERICANA
AS12364,"""University of Macedonia", Economic and Social Sciences"
AS12384,Swedish University of Agricultural Sciences
AS12402,University of Piraeus
AS12423,Nicolaus Copernicus University in Torun
AS12501,"""UMDAC", Umea University"
AS12618,Politechnika Bydgoska im. Jana i Jedrzeja Sniadeckich
AS12660,Sharif University Of Technology
AS12673,University of Pannonia
AS12675,Alexandru Ioan Cuza University
AS12687,User Association of Ukrainian Research and Academic N...
AS12770,Federal State Budgetary Educational Institution of Hi...
AS12812,AMERICAN UNIVERSITY of BEIRUT
AS12831,"""Technical University of Gdansk", Academic Computer Cen..."
AS12908,Sabanci University
AS12999,Federal State Autonomous Educational Institution of H...
AS13032,Kyiv National Taras Shevchenko University
AS13041,Consorci de Serveis Universitaris de Catalunya
AS13171,Belarusian State University
AS13185,"FSBE Institution of HE """"I.S. TURGENEV Orlovsky STATE ..."
AS13210,ACADEMIA DE STUDII ECONOMICE
AS13242,Latvia University of Life Sciences and Technologies
AS13293,Institute of Bioorganic Chemistry Polish Academy of S...
AS13303,University of Nis
AS13315,Harvard Business School
AS13326,Tufts University
AS13327,Eastern Kentucky University
AS13371,Duke University
AS13429,Medical University of South Carolina
AS13476,Montana State University
AS13485,Grand Canyon University
AS13513,Alfred University
AS13515,Palm Beach Atlantic University
AS13539,Bastyr University
AS13548,College of Charleston
AS13552,Cegep de Sainte-Foy
AS13643,Universidad Catolica Corporacion de TV.
AS13712,Saint Marys University of Minnesota
AS13726,Atlanta Public Schools
AS13751,University of Arizona Global Campus
AS13759,Wilkes University
AS13764,Kwantlen Polytechnic University
AS13783,Radford University
AS13796,University of Connecticut
AS13801,Concord-Carlisle Regional School District
AS13809,University of Arkansas for Medical Sciences
AS13942,Commission Scolaire Marie-Victorin
AS14041,University Corporation for Atmospheric Research
AS14048,The University of Memphis
AS14049,Golden Gate University
AS14104,University of Texas System
AS14128,National University
AS14138,Orange County Public Schools
AS14183,University of Arkansas at Little Rock
AS14200,Marshall University
AS14209,University of Tennessee at Chattanooga
AS14221,University of Washington
AS14241,Oakland Schools
AS14252,"""School Specialty", Inc."
AS14255,University of San Diego
AS14314,University of Texas Rio Grande Valley
AS14319,Furman University
AS14348,University of Rhode Island
AS14351,Southwestern University
AS14373,University of Texas Medical Branch
AS14426,Grant MacEwan University
AS14433,State University of New York - Oswego
AS14448,High Point University
AS14512,Bentley University
AS14529,Saint Joseph's University
AS14550,Middlebury College
AS14590,Desert Schools Federal Credit Union
AS14623,Lubbock Christian University
AS14661,Laurentian University of Sudbury
AS14690,Peoria Unified School District
AS14760,Murray State University
AS14763,St. Catherine University
AS14767,'Iolani School
AS14773,Lancaster-Lebanon Intermediate Unit 13
AS14801,Hawaii Pacific University
AS14834,University of Illinois at Springfield
AS14845,Universidad Nacional del Sur
AS14877,"""FirstLight Fiber", Inc."
AS14983,Law School Admission Council
AS15046,Syracuse University
AS15116,Pittsburg State University
AS15118,Southern Illinois University - School of Medicine
AS15119,Southern Illinois University Carbondale
AS15158,Algoma University
AS15172,Reinhardt University
AS15199,Western Washington University
AS15236,Universidad de Colima
AS15295,University of Northern Colorado
AS15318,McGill University
AS15323,Bellevue School District #405
AS15336,"""Concordia University", St. Paul"
AS15396,University of Warsaw
AS15474,Rannsókna- og háskólanet Íslands hf.
AS15488,Universidad del Pais Vasco - Euskal Herriko Unibertsitatea
AS15496,Aalto University
AS15505,King Abdulaziz University (KAU) - Deanship of Informa...
AS15630,Universidad Nacional de Educacion a Distancia - UNED
AS15744,"""Silesian University of Technology", Computer Centre"
AS15798,"""University of Warmia and Mazury in Olsztyn", Poland"
AS15827,Turiba University
AS15907,Imam Khomeini International University of Qazvin
AS15980,Uppsala University
AS16120,"Universitatea de Medicina si Farmacie """"Victor Babes"""" ..."
AS16220,Civil Engineering University of Bucharest
AS16283,Lodz University of Technology
AS16286,University of Kashan
AS16292,Kermanshah University of Medical Science and Health Service
AS16308,State Educational institution for High professional e...
AS16328,University of Architecture Civil Engineering and Geodesy
AS16384,St Michael's College
AS16393,Barry University
AS16430,University of Southern Mississippi
AS16461,The University of Texas at El Paso
AS16462,University of Victoria
AS16475,Brock University
AS16489,Webster University
AS16498,LaSalle University
AS16519,University of Colorado Denver
AS16580,Athabasca University
AS16596,Universidad Autonoma del Estado de Baja California
AS16600,University of Texas Health Science Center at Tyler
AS16643,Virginia Commonwealth University
AS16649,Interamerican University of Puerto Rico
AS16679,BETHEL SCHOOL DISTRICT 403
AS16742,Universidad Catolica de Valparaiso
AS16796,MERLIN
AS16889,Stevens Institute of Technology
AS16913,Loyola University New Orleans
AS16922,University of Oklahoma HSC
AS16989,The University of Tennessee Health Science Center
AS17001,University of Manitoba
AS17015,Western Colorado University
AS17031,Winston-Salem/Forsyth County Schools
AS17055,University of Utah
AS17059,Almendras Communications LLC
AS17135,Ohio University
AS17153,New Mexico Tech
AS17202,Florida Gulf Coast University
AS17244,McNeese State University
AS17287,Universidad de Carabobo
AS17309,Roosevelt University
AS17324,Yeshiva University
AS17353,Simcoe County District School Board
AS17355,"""Wayzata School District", ISD #284"
AS17364,Soka University of America
AS17369,Chapman University
AS17479,Chiang Mai University
AS17553,Bogor Agricultural University
AS17579,KISTI
AS17712,National Chung Cheng University
AS17713,National Sun Yat-sen University
AS17716,National Taiwan University
AS17717,"""Ministry of Education Computer Center Taipei", Taiwan"
AS17764,Hong Kong Metropolitan University
AS17856,Konyang University
AS17956,WASEDA University
AS18026,JEJU NATIONAL UNIVERSITY
AS18031,Sangmyung University
AS18034,Gangneung-Wonju National University
AS18047,National Tsing-Hua University
AS18148,Fukuoka University
AS18173,Aga Khan University
AS18185,National Chiao Tung University
AS18188,Ateneo de Manila University
AS18297,K-JIST
AS18298,Chungnam National University
AS18360,Santo Tomas E-Service Providers
AS18394,Universitas Pendidikan Indonesia
AS18460,Fort Hays State University
AS18515,University of Texas at Arlington
AS18538,Wake County Public School System
AS18553,University of West Florida
AS18564,"""St. John's University", New York"
AS18630,The Ridley School District
AS18660,Kentucky State University
AS18663,University of the Pacific
AS18682,Alabama A&M University
AS18693,University of Colorado Hospital
AS18724,Blue Hills Regional Vocational Technical School
AS18759,Georgia Southern University
AS18777,Texas State University
AS18791,Texas Christian University
AS18795,University of La Verne
AS18838,DeKalb County School District
AS18999,"""SAINT ANDREW'S SCHOOL OF BOCA RATON", INC."
AS19096,DeSales University
AS19106,Andrews University
AS19153,The University of Tennessee at Martin
AS19166,Northern Lights School Division No 69
AS19184,University of Wisconsin - Eau Claire
AS19192,Universidad Central de Venezuela
AS19200,Universidade Federal do Rio Grande do Sul
AS19321,University Medical Center
AS19342,Trinity University
AS19354,Williamsburg James City County Public Schools
AS19395,Bucks County Community College
AS19464,Washington & Lee University
AS19470,LAS CRUCES PUBLIC SCHOOLS
AS19473,Southwestern Adventist University
AS19537,Upper Arlington City School District
AS19564,Louisiana Tech University
AS19611,Universidade do Vale do Rio dos Sinos
AS19763,Fundacao Universidade do Vale do Itajai
AS19782,Indiana University (GigaPOP)
AS19870,Cherry Creek School District #5
AS19923,Shenandoah University
AS19927,Lone Star College System District
AS19941,Concordia University Chicago
AS19945,Granbury Independent School District
AS20031,The School District of Pittsburgh
AS20038,Allentown School District
AS20074,Point Loma Nazarene University
AS20080,Florida International University
AS20085,The University of Akron
AS20105,University of Richmond
AS20126,University of Cincinnati
AS20130,Depaul University
AS20143,Suffolk University
AS20162,University of Texas at Dallas
AS20177,Emporia State University
AS20191,Pontificia Universidad Catolica de Chile
AS20243,University of the Virgin Islands
AS20252,Weill Cornell University Medical Sciences
AS20254,Tuscaloosa City Schools
AS20274,Flathead Valley Community College
AS20306,Adelphi University
AS20343,Pepperdine University
AS20344,Billerica Public Schools
AS20452,BALL STATE UNIVERSITY
AS20545,Georgian Research and Educational Networking Associat...
AS20555,Akademia WIT w Warszawie
AS20633,Johann Wolfgang Goethe-Universitat Frankfurt am Main
AS20719,Birzeit University
AS20772,OOO Kurier
AS20813,Hellenic Open University
AS20965,GEANT Vereniging
AS21064,"""University of Warmia and Mazury in Olsztyn", Poland"
AS21143,Tula State University
AS21182,Opole University
AS21320,GEANT Vereniging
AS21506,Fundação Universidade de Brasília
AS21520,Instituto Tecnologico Autonomo de Mexico(ITAM)
AS21569,Dallas Baptist University
AS21578,Universidad autonoma de Bucaramanga
AS21582,Northern Arizona University
AS21603,"""Universidad La Salle", AC"
AS21612,FUNDACAO INSTITUTO OSWALDO CRUZ
AS21727,Hamline University
AS21781,The Dalton School
AS21784,The Robert W. Woodruff Library of the Atlanta Univers...
AS21895,New York Law School
AS21924,Kern High School District
AS21976,"""NJEDge.Net", Inc."
AS21984,Fairfax County Public Schools
AS22050,School District of Lancaster
AS22122,UNIVERSIDAD AUTONOMA DE YUCATAN
AS22159,The State University of New York
AS22163,Texas A&M University System Health Science Center
AS22164,Clark County School District
AS22174,State University of New York College of Technology at...
AS22215,Black Hills State University
AS22226,San Francisco Unified School District
AS22245,Wichita State University
AS22247,LeTourneau University
AS22315,San Bernardino County Superintendent of Schools
AS22320,Miami Valley Educational Computer Association
AS22323,"""University of California", Merced"
AS22354,University of Dar es Salaam
AS22388,Indiana University
AS22441,Whitworth University
AS22461,Mercedes Independent School District
AS22594,University of Northern Iowa
AS22607,Des Moines University
AS22615,Monroe County Community School Corporation
AS22644,"""Thomas Jefferson University Hospitals", Inc."
AS22666,Glenbrook High School District
AS22686,University of Winnipeg
AS22700,University of San Francisco
AS22721,Saint Peter's University
AS22734,DeVry University
AS22739,Brigham Young University Hawaii
AS22742,Connecticut Education Network
AS22782,Texas A&M University
AS22788,Katy Independent School District
AS22819,Fundação Universidade de Caxias do Sul
AS22847,Bowdoin College
AS22851,Northern State University
AS22864,University of Texas Rio Grande Valley
AS22875,"""Life University", INC."
AS22877,University of Maryland Global Campus
AS22887,Western Illinois University
AS22919,Portland Community College
AS22948,Walnut Valley Unified School District
AS22950,University of Saskatchewan
AS22968,Miami University
AS22978,Governors State University
AS22985,University of Louisiana at Lafayette
AS22990,"""University at Albany", State University of New York"
AS23007,Universidad de Los Andes
AS23022,DELAWARE STATE UNIVERSITY
AS23030,University of Houston - Downtown
AS23091,Universidad Autonoma Chapingo
AS23102,Robert Morris University
AS23122,Dakota State University
AS23140,Universidad de Chile
AS23162,University of Kentucky
AS23207,Northwestern State University
AS23237,McMaster University
AS23294,The University of Louisiana at Monroe
AS23339,Marymount University
AS23361,"""West Virginia University Foundation", Inc."
AS23369,Sonoma County Office of Education
