AS16904,Arvig Enterprises Inc.
AS17055,University of Utah
AS17290,"""Austin Hadley", Sole Proprietorship"
AS17356,"""Vermont Telephone Company", Inc."
AS17506,ARTERIA Networks Corporation
AS17511,OPTAGE Inc.
AS17551,Swoop (Anycast Global Backbone)
AS17552,True Online
AS17676,SoftBank Corp.
AS17931,"""Netforest",Inc."
AS18106,Viewqwest Pte Ltd
AS18390,Spintel Pty Ltd
AS18460,Fort Hays State University
AS18526,"""DDPS Networks", LLC"
AS18624,Greenlight
AS19008,"""Perry-Spencer Communications", Inc."
AS19045,"""Direct Communications Cedar Valley", LLC"
AS19148,"""Leaseweb USA", Inc."
AS19165,Webpass Inc.
AS19318,"""Interserver", Inc"
AS19437,SECURED SERVERS LLC
AS19504,"""WTC Communications", Inc."
AS19901,Brightspeed
AS19994,Rackspace Hosting
AS20001,Charter Communications Inc
AS20055,Ziply Fiber
AS20115,Charter Communications LLC
AS20454,SECURED SERVERS LLC
AS20473,"""The Constant Company", LLC"
AS20676,Plusnet GmbH
AS20712,Andrews & Arnold Ltd
AS20766,"Association """"Gitoyen"""""
AS20845,DIGI Tavkozlesi es Szolgaltato Kft.
AS20853,eTOP sp. z o.o.
AS20860,IOMART CLOUD SERVICES LIMITED
AS20904,Cinia Oy (fka. Netplaza)
AS21100,GREEN FLOID LLC
AS21211,"""Penkiu kontinentu komunikaciju centras", Ltd."
AS21334,One Hungary Ltd.
AS21409,Ikoula Net SAS
AS21473,PFALZKOM GmbH
AS21499,Host Europe GmbH
AS21859,Zenlayer Inc
AS22295,Advin Services LLC
AS22296,Vorsk LLC
AS22555,"""Smart Networks",LLC"
AS22612,"""Namecheap", Inc."
AS22773,Cox Communications Inc.
AS23033,Wowrack.com
AS23310,TASTY LIME
AS23470,ReliableSite.Net LLC
AS23473,PAVLOV MEDIA INC
AS23507,AV SERVICES LLC
AS23655,2degrees Networks Limited
AS24164,UNION BROADBAND NETWORK
AS24282,KAGOYA JAPAN Inc.
AS24482,SG.GS
AS24768,"""AlmourolTec", Lda"
AS24800,BornFiber Service Provider ApS
AS24875,NovoServe B.V.
AS24940,Hetzner Online GmbH
AS24953,NETPLANET GmbH
AS24961,WIIT AG (fka. myLoc Managed IT AG)
AS24971,MasterDC s.r.o.
AS25198,INTERKVM HOST (ZetServers)
AS25274,Naracom Kft.
AS25353,BAR Informatik AG
AS25400,Telia Norge AS
AS25512,CD-Telematika a.s.
AS25697,UpCloud USA Inc
AS25795,"""ARP NETWORKS", INC."
AS25820,IT7 Networks Inc
AS25853,Ellijay Telephone Company
AS26042,"""FiberState", LLC"
AS26068,"""OnShore", Inc."
AS26277,ServerPoint.com
AS26286,MysticDev LLC
AS26347,"""New Dream Network", LLC"
AS26383,Baxet Group Inc.
AS26666,"""Interserver", Inc"
AS26801,"""Zito Media", L.P."
AS26832,Rica Web Services
AS27176,DataWagon LLC
AS27284,Fourplex Telecom LLC
AS27364,Armstrong
AS27411,"""Leaseweb USA", Inc."
AS27631,PANGAEA
AS27651,ENTEL CHILE S.A.
AS27715,Locaweb Serviços de Internet S/A
AS27823,Dattatec.com
AS28573,Claro NXT Telecomunicacoes Ltda
AS28640,VIPWay Telecomunicações Ltda
AS28753,Leaseweb Deutschland GmbH
AS28855,Octopuce s.a.r.l.
AS29066,velia.net Internetdienste GmbH
AS29075,IELO-LIAZO SERVICES SAS
AS29134,"""Webglobe", s.r.o."
AS29169,GANDI SAS
AS29222,Infomaniak Network SA
AS29259,IABG Teleport GmbH
AS29314,VECTRA S.A.
AS29447,Iliad Italia S.p.A
AS29485,A1 Hrvatska d.o.o.
AS29518,Bredband2 AB
AS29551,Aixit GmbH
AS29580,A1 Bulgaria EAD
AS29691,Nine Internet Solutions AG
AS29695,Lyse Tele AS
AS29802,"""HIVELOCITY", Inc."
AS30036,Mediacom Communications Corp
AS30041,"""Race Tech", LLC"
AS30058,FDCservers.net
AS30083,velia.net
AS30600,Metronet
AS30633,LeaseWeb USA / WDC-01
AS30722,Vodafone Italia S.p.A.
AS30766,GGEW net GmbH
AS30823,aurologic GmbH
AS30836,23VNet Kft.
AS30860,Virtual Systems LLC
AS30893,No ACK Group Holding AB
AS30983,Moroccan Academic & Research WAN
AS31034,Aruba S.p.A.
AS31042,Serbia BroadBand-Srpske Kablovske mreze d.o.o.
AS31103,Keyweb AG
AS31371,Wissenschaftsladen Dortmund e.V.
AS31469,Virtual Systems LLC
AS31863,"""Centrilogic", Inc."
AS31898,Oracle Cloud
AS32097,"""WholeSale Internet", Inc."
AS32133,Ting Fiber Inc.
AS32181,GigeNET
AS32244,"""Liquid Web", L.L.C"
AS32338,Hostiserver Ltd
AS33083,AxcelX Technologies LLC
AS33255,Hampden-Sydney College
AS33363,"""Charter Communications", Inc"
AS33387,"""Nocix", LLC"
AS33566,Knoxville Utilities Board
AS33588,Charter Communications LLC
AS33705,Digital Shape Technologies Inc.
AS33796,BOLIGNET-AARHUS F.M.B.A.
AS33837,Fredrik Holmqvist
AS33885,Telenor Sverige AB
AS33911,HZONE SRL
AS33915,Vodafone Libertel B.V.
AS33943,Eri Internet s.r.o.
AS33984,Surfplanet GmbH
AS33993,UFO Hosting LLC
AS34001,SIA LIVAS NET
AS34087,NTE TELEKOM AS
AS34224,Neterra Ltd.
AS34244,Teleservice Bredband Skane AB
AS34259,"TOV """"Highload Systems"""""
AS34288,Kantonsschule Zug
AS34689,Castlegem SRL
AS34694,Stadtwerke Woergl GmbH
AS34700,"""Maxnet Telecom", LTD"
AS34702,Aktsiaselts WaveCom
AS34779,"""T-2", d.o.o."
AS34878,Karlsruhe Institute of Technology
AS34911,ELDATA prazska s.r.o.
AS34927,iFog GmbH
AS35100,Patrik Lagerman
AS35179,Korbank S. A.
AS35366,ISPpro Internet KG
AS35369,LINZ STROM GAS WAERME GmbH fuer Energiedienstleistung...
AS35425,IOMART MANAGED SERVICES LIMITED
AS35426,NXT Initiative SAS
AS35434,PirxNet Grzegorz Bialas
AS35470,Signet B.V.
AS35592,Coolhousing s.r.o.
AS35661,VIRTUA SYSTEMS SAS
AS35680,Volia-Cable LLC
AS35699,Adamo Telecom Iberia S.A.
AS35758,Rachamim Aviel Twito
AS35916,MULTACOM CORPORATION
AS36007,"""Kamatera", Inc."
AS36149,"""Hawaiian Telcom Services Company", Inc."
AS36352,HostPapa
AS36375,University of Michigan
AS36849,1st Amendment Encrypted Openness LLC
AS36850,University of North Carolina at Chapel Hill
AS37680,Cool Ideas Service Provider (Pty) Ltd
AS38074,SDCC Japan-West Area
AS38195,Superloop
AS38700,SMILESERV
AS39007,"UAB """"Balticum TV"""""
AS39020,Comvive Servidores S.L.
AS39287,ab stract ltd
AS39375,Telekomunikacja Podlasie Sp. z o.o.
AS39378,servinga GmbH
AS39392,SH.cz s.r.o.
AS39405,Eurofiber France SAS
AS39409,Sebastian-Wilhelm Graf
AS39421,Sapinet SAS
AS39484,Pirkan Opiskelija-asunnot Oy
AS39519,WIIT AG
AS39622,ZERGRUSH SRL
AS39642,Norlys Digital A/S
AS39699,Lounea Palvelut Oy
AS39788,Chaos Computer Club e.V.
AS39798,MivoCloud SRL
AS39819,Optima Telecom Ltd.
AS39900,SIA GOOD
AS39912,oja.at GmbH
AS40021,"""Contabo (Nubes", LLC)"
AS40156,The Optimal Link Corporation
AS40244,Turnkey Internet Inc.
AS40662,Layer7 Technologies Inc
AS40663,IncogNet LLC
AS40676,Psychz Networks
AS40924,Harley Security Solutions LLC
AS40994,Alwyzon (Hohl IT)
AS41047,Bart Vrancken
AS41075,ATW Internet Kft.
AS41108,comtrance service GmbH
AS41281,KeFF Networks Ltd
AS41564,Orion Network Limited
AS41608,"""NextGenWebs", S.L."
AS41634,Svea Hosting AB
AS41652,SHPV FRANCE SAS
AS41653,Aqua Ray SAS
AS41745,Baykov Ilya Sergeevich
AS42159,Zemlyaniy Dmitro Leonidovich
AS42237,w1n ltd
AS42473,Anexia Cloud Solutions GmbH
