AS31898,Oracle Cloud
AS31960,Eduardo Mondlane University
AS32475,Internap Holding LLC
AS33724,VOLICO
AS33788,Kanar Telecommunication (Canar Telecom Co.Ltd)
AS35052,ACONET
AS35160,Communications and Media Commission (CMC)
AS35285,Institute for Research in Fundamental Sciences
AS35819,"""Etihad Etisalat", a joint stock company"
AS35916,MULTACOM CORPORATION
AS36351,IBM Cloud
AS36864,AFRIBONE MALI SA
AS36884,Wana Corporate
AS36924,GVA Cote d'Ivoire SAS
AS36925,Orange Maroc
AS36938,Nigeria Internet Registration Association
AS36939,Comores Telecom
AS36943,1 GRID (PTY) LTD
AS36948,Kenya Network Information Centre (KENIC)
AS36958,Cable & Wireless (Seychelles) Ltd
AS36969,Malawi Telecommunications Limited
AS37045,Tanzania Network Information Centre (tzNIC)
AS37100,SEACOM Limited
AS37124,Airtel Rwanda Ltd
AS37177,Afrinic Anycast DNS
AS37204,Telone PVT Ltd
AS37313,Ghana Government (Ministry of Communications)
AS37327,Network Information Center Madagascar - NIC-MG
AS37385,Societe Nigerienne des Telecommunications (SONITEL)
AS37430,VDC Telecom
AS37505,Lesotho Network Information Centre Proprietary
AS37510,Posix Swaziland
AS37517,CV  Multimedia SA
AS38064,InternetNZ (.nz tld)
AS38229,"""Lanka Education & Research Network", NREN"
AS38332,.au Domain Administration Ltd
AS38345,Internet Domain Name System Beijing Engineering Resra...
AS38736,Vietnam Internet network information center (VNNIC)
AS38737,Vietnam Internet network information center (VNNIC)
AS39122,Blacknight Internet Solutions Limited
AS39200,Institute for Research in Fundamental Sciences
AS39279,Information Technology and Cyber Security Service
AS39839,Punktum dk A/S
AS39840,Netnod AB
AS39871,Netnod AB
AS40945,SAT TELECOMMUNICATIONS LTD
AS41176,Sahara Al Jazeera Network Information Technology Company
AS41231,Canonical Group Limited
AS42298,Ooredoo Q.S.C.
AS42310,IE Domain Registry CLG
AS42385,"Join-stock company """"Internet Exchange""""MSK-IX"""""
AS42409,Autoriteti i Komunikimeve Elektronike dhe Postare - AKEP
AS42781,Zajil International Telecom Company KSCC
AS42909,Community DNS Limited
AS43489,"JSC """"RU-CENTER"""""
AS43515,Google Ireland Limited
AS43519,Nominet UK
AS43832,"Join-stock company """"Internet Exchange""""MSK-IX"""""
AS44358,Kauno Technologijos Universitetas
AS45187,Rackspace IT Hosting AS IT Hosting Provider Hong Kong
AS45237,Magicnet LLC
AS45285,InternetNZ (.nz tld)
AS45356,Mobitel Pvt Ltd
AS45554,Vietnam Internet network information center (VNNIC)
AS45809,ASN for .nz registry content
AS47201,TELECOMMUNICATIONS AND DIGITAL GOVERNMENT REGULATORY ...
AS47267,Serbian National Internet Domain Registry Foundation
AS47527,DLX A/S
AS48011,Turunc Smart Bilgisayar Teknoloji Ve Dis Ticaret Limi...
AS48053,Foundation of Research and Technology Hellas
AS48283,Stichting Internet Domeinregistratie Nederland
AS48979,DAVLAT AXBOROT TIZIMLARINI YARATISH VA QO`LLAB QUVATL...
AS49063,Data Storage Center JSC
AS49227,Ukrainian Internet Names Center LTD
AS50611,Knipp Medien und Kommunikation GmbH
AS51172,DOMREG
AS51346,"Opened Joint Stock Company """"Tojiktelecom"""""
AS51349,Foundation Eesti Interneti Sihtasutus
AS51354,"""""Internet Society"""" Public Organisation"
AS51559,Netinternet Bilisim Teknolojileri AS
AS51833,Association of IT Companies of Kazakhstan
AS51955,Institute of Mathematics and Computer Science of Univ...
AS51966,Fondation RESTENA
AS52188,"Univerzitet """"Sv. Kiril i Metodij"""""
AS52234,NIC Chile
AS52250,Ag para el Desarrollo de la Sociedad de la Inf en Bol...
AS52274,NIC.EC S.A.
AS52304,NIC Chile
AS52305,NIC Chile
AS52306,NIC Chile
AS52391,Curacao Technology Exchange N.V (CTEX)
AS53035,Núcleo de Inf. e Coord. do Ponto BR - NIC.BR
AS55195,CIRA Canadian Internet Registration Authority Autorit...
AS55342,Homenet
AS55722,Cenpac Net Inc
AS55943,ONATI
AS56048,China Mobile Group Beijing Company
AS56301,National Data Center building
AS56582,Netfactor Telekominikasyon ve Teknoloji Hizmetleri Sa...
AS56588,Information System Authority
AS56908,Netnod AB
AS57382,Telecommunication Tokelau Corporation Teletok
AS57801,"""SK-NIC", a.s."
AS57814,Cloud 9 Ltd.
AS58448,CONAC (China Organizational Name Administration Center)
AS58536,CONAC (China Organizational Name Administration Center)
AS60330,Belarusian Cloud Technologies LLC
AS60592,Gransy s.r.o.
AS60680,Telecommunications Regulatory Authority (TRA)
AS60890,CentralNic Ltd
AS61005,OpenTLD BV
AS61007,OpenTLD BV
AS61025,CoCCA Registry Services (NZ) Limited
AS61455,LACTLD - LATIN AMERICAN AND CARIBBEAN TLD ASSOCIATION
AS63363,Tucows.com Co.
AS63911,"""NetActuate", Inc"
AS131098,Korea Internet Security Agency
AS131099,Korea Internet Security Agency
AS131100,Korea Internet Security Agency
AS131279,Ryugyong-dong (DPRK)
AS131905,"""Japan Registry Services Co.", Ltd."
AS132647,Pengelola Nama Domain Internet Indonesia
AS133874,MYNIC Berhad
AS136557,Host Universal Pty Ltd
AS138457,China Academy of Information and Communications Technology
AS142437,"""Thai Name Server Co.", Ltd."
AS197000,RIPE NCC - Anycast DNS
AS197440,dot IT ccTLD anycast
AS197564,Stiftelsen for Internetinfrastruktur
AS197726,Ukrainian Internet Names Center LTD
AS197997,RegisterBG Ltd
AS198147,Telecommunication Tokelau Corporation Teletok
AS199216,Compass-Verlag GmbH
AS199330,CentralNic Ltd
AS199670,DNS-Belgium VZW
AS199993,Associacao DNS.PT
AS200070,"""CZ.NIC", z.s.p.o."
AS201303,CentralNic Ltd
AS201304,CentralNic Ltd
AS201612,nic.at GmbH
AS201688,Bilgi Teknolojileri ve iletisim Kurumu
AS202660,"""""Uzbektelekom"""" Joint Stock Company"
AS203391,Cloud DNS Ltd
AS204548,Kamatera Inc
AS204649,Sure South Atlantic Limited
AS206768,Association of IT Companies of Kazakhstan
AS207266,Identity Digital Limited
