AS136117,PT Bank Pembangunan Daerah Jawa Barat & Banten
AS136126,PT Blue Bird Tbk
AS136766,"""ROBLOX (SHENZHEN) DIGITAL SCIENCE AND TECHNOLOGY CO.", LTD"
AS136769,"""Guangzhou Fengyun Information Technology Co.", Ltd."
AS136888,PT Petro One Indonesia
AS136964,NZ Safety Blackwoods
AS137019,neuCentrIX
AS137263,NETEASE HONG KONG LIMITED
AS137288,PT Ungaran Sari Garments
AS137331,PT Cloud Teknologi Nusantara
AS137357,PT Bukit Makmur Mandiri Utama
AS137369,PT Integral Data Prima
AS137383,PT Mandiri Sekuritas
AS137735,China Construction Bank
AS137758,Industrial and Commercial Bank of China Limited
AS138073,PT Elnusa Tbk
AS138341,Shopee Singapore Pte. Ltd.
AS138883,PT Asuransi Jiwa Generali Indonesia
AS139148,"""China UnionPay Co.", Ltd"
AS139656,ANZ BANK NEW ZEALAND LIMITED
AS139986,PT Henan Putihrai Sekuritas
AS140415,PT Jasamarga Tollroad Operator
AS140467,PT Kreatif Global Solusindo
AS140940,PT Bank Seabank Indonesia
AS140982,DCS1 - Broadside
AS141253,Hyosec Solutions Private Limited
AS141666,PT Industri Kereta Api
AS147039,Cyprea Private Limited
AS147112,PT Meetaza Prawira Media
AS149037,Mavorion Systems
AS149546,B G CHITALE
AS149753,PT Global Sarana Mediakom
AS150006,Aloi Pte. Ltd.
AS150158,"""PHSS Camindo", Ltd. "
AS150480,PT Swara Logika Laboratory
AS151332,CoinJar Pty Ltd
AS151544,PDWNet
AS151573,PT Kereta Cepat Indonesia China
AS152626,Cloudbase Network
AS152772,PT Prosperita Sistem Indonesia
AS152909,SaferCities
AS153129,PT Cashlez Worldwide Indonesia Tbk
AS196731,egeplast international GmbH
AS197115,KEVA
AS197289,AS HELMES
AS197347,Allianz Arena Muenchen Stadion GmbH
AS197403,Íslandsbanki hf
AS197446,SIA Vitol Terminal Latvia
AS197466,SIA 3ENITH
AS197759,Enapter AG
AS197870,"S.I.A.""""IBANPAY"""""
AS197930,Haahtela-kehitys Oy
AS198147,Telecommunication Tokelau Corporation Teletok
AS198417,DSM Grup Danismanlik Iletisim ve Satis Ticaret Anonim...
AS198606,AMST-Systemtechnik GmbH
AS198761,Simac IT NL B.V.
AS198912,SITA
AS199031,SIA Amberbit
AS199034,"SIA """"Baltic project group"""""
AS199963,Mack International GmbH trading as Europa-Park GmbH &...
AS199980,IVENDO sp. z o.o.
AS200180,PT. Premium Fast Network
AS200202,Fuze III SARL
AS200249,Products Up GmbH
AS200432,Teya Iceland hf
AS200567,Wireless Logic mdex GmbH
AS200587,Red Bee Media B.V.
